train_loss,epoch,step,val_loss
0.3240275979042053,0,49,
0.13590675592422485,0,99,
0.1307557076215744,0,149,
,0,161,0.07729870080947876
0.07949662953615189,1,199,
0.0961902067065239,1,249,
0.05825043469667435,1,299,
,1,323,0.061836469918489456
0.07914049923419952,2,349,
0.07005417346954346,2,399,
0.05141879990696907,2,449,
,2,485,0.056311026215553284
0.06178764998912811,3,499,
0.04608256369829178,3,549,
0.05916934460401535,3,599,
,3,647,0.05541710928082466
0.07317730784416199,4,649,
0.056551117449998856,4,699,
0.06628409028053284,4,749,
0.05799149349331856,4,799,
,4,809,0.05444871634244919
0.05427703261375427,5,849,
0.04797749221324921,5,899,
0.04248682036995888,5,949,
,5,971,0.052902571856975555
0.054313383996486664,6,999,
0.05080996826291084,6,1049,
0.05680380016565323,6,1099,
,6,1133,0.05129377543926239
0.05641244351863861,7,1149,
0.050896305590867996,7,1199,
0.05870279669761658,7,1249,
,7,1295,0.04988313466310501
0.056550927460193634,8,1299,
0.048747189342975616,8,1349,
0.047593191266059875,8,1399,
0.049425169825553894,8,1449,
,8,1457,0.047720570117235184
0.05248910188674927,9,1499,
0.04919799417257309,9,1549,
0.04792402684688568,9,1599,
,9,1619,0.048530761152505875
